Issue key,Summary,Custom field (Release Note),Custom field (External Issue URL),Custom field (Git Pull Request),Components,is_magento
AC-14558,Migration form RabbitMQ to Apache ActiveMQ,"","","",Framework,true
AC-15133,Upgrade chart.js dependency to the latest version,The chart.js dependency is upgraded to the latest version 4.5.0,"",https://github.com/magento/magento2/commit/657f983e,Framework,true
AC-15160,Migration from Laminas MVC,"Adobe Commerce has introduced a native MVC implementation, replacing the legacy Laminas MVC, to ensure long-term compatibility and stability beyond PHP 8.5. This change strengthens performance, reduces external dependencies, and provides a more future-ready foundation for Commerce","","",Framework,true
BUNDLE-3459,Vaulting Google Pay via the Account Area,"In Magento 2.4.9-alpha3, customers can now vault their Google Pay cards via the account area when Google Pay Vault is enabled in Braintree. Vaulted cards appear under stored payment methods, can be used for future purchases at checkout, and can be deleted by the customer. This extends vaulting support beyond Cards and PayPal to Google Pay.","","",Braintree,true
BUNDLE-3461,Link Magento Order to Braintree Portal Order,"In Magento 2.4.9-alpha3, a Braintree Portal Link is now added to the order details in the Magento Admin. Clicking the link opens the related transaction in the Braintree Portal (in a new tab), using the Merchant ID and Transaction ID from the Magento order. This allows direct cross-referencing without logging into both systems separately.","","",Braintree,true
BUNDLE-3462,Real Time Account Updater (RTAU),"The Real Time Account Updater (RTAU) feature in Magento 2.4.9-alpha3 for Braintree ensures that vaulted Visa, Mastercard, and Discover card details are automatically updated when cards expire or are replaced. This minimizes failed payments, keeps Magento Vault current, and skips unsupported types (prepaid, Apple Pay, Google Pay) without errors.","","",Braintree,true
BUNDLE-3464,ELO Card type support for Braintree Card Payments,"In Magento 2.4.9-alpha3, support for the ELO card type has been added to Braintree Payments. Admins can now enable ELO in the credit card configuration, and customers can successfully place orders using ELO cards at checkout, ensuring seamless transactions through Braintree.","","",Braintree,true
